Thresh%	Bins	Bytes	pSNR
99.872	170	8248	21.44
99.872	172	8248	21.44
99.872	174	8248	21.44
99.872	176	8252	21.44
99.872	178	8252	21.44
99.872	180	8248	21.44
99.872	182	8252	21.44
99.872	184	8252	21.45
99.872	186	8252	21.44
99.872	188	8252	21.43
99.872	190	8252	21.43
99.872	192	8252	21.44
99.872	194	8252	21.44
99.872	196	8252	21.44
99.872	198	8252	21.44
99.872	200	8252	21.45
99.866	10	8212	17.84
99.866	12	8216	18.89
99.866	14	8220	20.36
99.866	16	8220	20.39
99.866	18	8224	20.52
99.866	20	8224	21.03
99.866	22	8228	21.09
99.866	24	8228	21.00
99.866	26	8228	21.18
99.866	28	8232	21.25
99.866	30	8232	21.23
99.866	32	8232	21.26
99.866	34	8232	21.36
99.866	36	8232	21.44
99.866	38	8236	21.37
99.866	40	8236	21.42
99.866	42	8236	21.40
99.866	44	8236	21.46
99.866	46	8236	21.41
99.866	48	8240	21.47
99.866	50	8240	21.44
99.866	52	8240	21.46
99.866	54	8240	21.47
99.866	56	8240	21.49
99.866	58	8240	21.47
99.866	60	8240	21.50
99.866	62	8240	21.49
99.866	64	8244	21.51
99.866	66	8240	21.49
99.866	68	8244	21.49
99.866	70	8244	21.54
99.866	72	8244	21.50
99.866	74	8244	21.51
99.866	76	8244	21.48
99.866	78	8244	21.50
99.866	80	8244	21.51
99.866	82	8244	21.51
99.866	84	8244	21.52
99.866	86	8244	21.49
99.866	88	8244	21.53
99.866	90	8248	21.52
99.866	92	8248	21.52
99.866	94	8248	21.51
99.866	96	8248	21.53
99.866	98	8248	21.54
99.866	100	8248	21.51
99.866	102	8248	21.51
99.866	104	8248	21.54
99.866	106	8248	21.51
99.866	108	8248	21.53
99.866	110	8248	21.54
99.866	112	8248	21.52
99.866	114	8248	21.53
99.866	116	8248	21.53
99.866	118	8248	21.53
99.866	120	8248	21.52
99.866	122	8248	21.53
99.866	124	8248	21.53
99.866	126	8248	21.53
99.866	128	8248	21.53
99.866	130	8252	21.53
99.866	132	8252	21.51
99.866	134	8252	21.53
99.866	136	8252	21.54
99.866	138	8252	21.54
99.866	140	8252	21.52
99.866	142	8252	21.52
99.866	144	8252	21.53
99.866	146	8252	21.53
99.866	148	8252	21.53
99.866	150	8252	21.52
99.866	152	8252	21.52
99.866	154	8252	21.54
99.866	156	8252	21.53
99.866	158	8252	21.53
99.866	160	8252	21.53
99.866	162	8252	21.53
99.866	164	8252	21.53
99.866	166	8252	21.53
99.866	168	8252	21.54
99.866	170	8252	21.52
99.866	172	8252	21.53
99.866	174	8252	21.53
99.866	176	8252	21.53
99.866	178	8252	21.54
99.866	180	8252	21.54
99.866	182	8252	21.53
99.866	184	8252	21.53
99.866	186	8256	21.53
99.866	188	8252	21.54
99.866	190	8252	21.53
99.866	192	8256	21.53
99.866	194	8252	21.54
99.866	196	8252	21.53
99.866	198	8252	21.53
99.866	200	8252	21.53
99.859	10	8216	17.44
99.859	12	8220	18.71
99.859	14	8220	20.47
99.859	16	8224	20.46
99.859	18	8224	20.73
99.859	20	8224	21.09
99.859	22	8228	21.25
99.859	24	8228	21.00
99.859	26	8232	21.18
99.859	28	8232	21.41
99.859	30	8232	21.40
99.859	32	8236	21.38
99.859	34	8236	21.47
99.859	36	8236	21.52
99.859	38	8236	21.47
99.859	40	8236	21.52
99.859	42	8240	21.50
99.859	44	8240	21.50
99.859	46	8240	21.52
99.859	48	8240	21.54
99.859	50	8240	21.54
99.859	52	8240	21.61
99.859	54	8244	21.58
99.859	56	8244	21.56
99.859	58	8244	21.56
99.859	60	8244	21.57
99.859	62	8244	21.59
99.859	64	8244	21.57
99.859	66	8244	21.58
99.859	68	8244	21.61
99.859	70	8244	21.58
99.859	72	8248	21.59
99.859	74	8248	21.58
99.859	76	8248	21.59
99.859	78	8248	21.62
99.859	80	8248	21.61
99.859	82	8248	21.59
99.859	84	8248	21.59
99.859	86	8248	21.59
99.859	88	8248	21.61
99.859	90	8248	21.60
99.859	92	8248	21.60
99.859	94	8248	21.61
99.859	96	8248	21.60
99.859	98	8248	21.59
99.859	100	8252	21.60
99.859	102	8252	21.62
99.859	104	8248	21.61
