Thresh%	Bins	bytes	pSNR
99.884	66	8417692	25.05
99.884	68	8418080	25.11
99.884	70	8418472	24.85
99.884	72	8418836	25.05
99.884	74	8419204	25.06
99.884	76	8419564	25.12
99.884	78	8419928	25.15
99.884	80	8420280	25.04
99.884	82	8420644	25.10
99.884	84	8420984	25.16
99.884	86	8421304	25.16
99.884	88	8421612	25.05
99.884	90	8421928	25.09
99.884	92	8422256	25.17
99.884	94	8422588	25.19
99.884	96	8422896	25.06
99.884	98	8423216	25.16
99.884	100	8423528	25.19
99.884	102	8423852	25.20
99.884	104	8424164	25.14
99.884	106	8424460	25.18
99.884	108	8424732	25.18
99.884	110	8424972	25.23
99.884	112	8425216	25.23
99.884	114	8425468	25.17
99.884	116	8425720	25.18
99.884	118	8425956	25.24
99.884	120	8426188	25.23
99.884	122	8426424	25.14
99.884	124	8426660	25.23
99.884	126	8426900	25.23
99.884	128	8427136	25.22
99.884	130	8427364	25.21
99.884	132	8427592	25.23
99.884	134	8427788	25.23
99.884	136	8427972	25.23
99.884	138	8428160	25.21
99.884	140	8428348	25.22
99.884	142	8428532	25.22
99.884	144	8428704	25.26
99.884	146	8428872	25.25
99.884	148	8429056	25.22
99.884	150	8429236	25.25
99.884	152	8429412	25.25
99.884	154	8429580	25.26
99.884	156	8429748	25.20
99.884	158	8429912	25.24
99.884	160	8430076	25.25
99.884	162	8430244	25.25
99.884	164	8430412	25.23
99.884	166	8430576	25.25
99.884	168	8430744	25.25
99.884	170	8430896	25.26
99.884	172	8431056	25.24
99.884	174	8431216	25.24
99.884	176	8431376	25.24
99.884	178	8431540	25.26
99.884	180	8431700	25.22
99.884	182	8431852	25.24
99.884	184	8432012	25.26
99.884	186	8432168	25.26
99.884	188	8432320	25.26
99.884	190	8432472	25.25
99.884	192	8432624	25.26
99.884	194	8432768	25.26
99.884	196	8432908	25.26
99.884	198	8433056	25.25
99.884	200	8433192	25.25
99.878	10	8404024	8.49
99.878	12	8404240	16.74
99.878	14	8404560	18.29
99.878	16	8404992	19.42
99.878	18	8405504	21.77
99.878	20	8406040	22.00
99.878	22	8406644	22.41
99.878	24	8407272	23.20
99.878	26	8407936	23.80
99.878	28	8408652	23.37
99.878	30	8409340	23.21
99.878	32	8410044	24.25
99.878	34	8410712	24.50
99.878	36	8411344	23.83
99.878	38	8411972	24.37
99.878	40	8412600	24.68
99.878	42	8413212	24.68
99.878	44	8413836	24.80
99.878	46	8414424	24.66
99.878	48	8415048	24.75
99.878	50	8415648	24.74
99.878	52	8416108	24.98
99.878	54	8416512	24.72
99.878	56	8416928	24.76
99.878	58	8417336	25.01
99.878	60	8417740	25.07
99.878	62	8418144	24.81
99.878	64	8418552	25.04
99.878	66	8418948	25.05
99.878	68	8419360	25.12
99.878	70	8419752	24.87
99.878	72	8420136	25.05
99.878	74	8420520	25.08
99.878	76	8420892	25.12
99.878	78	8421272	25.16
99.878	80	8421640	25.05
99.878	82	8422004	25.11
99.878	84	8422380	25.18
99.878	86	8422696	25.17
99.878	88	8423040	25.06
